SL NO,SPINDLE SPEED,DEPTH OF CUT,X (g),Y (g),Z (g),TEMPERATURE (C),MAX VIBRATION (HZ),MIN VIBRATION (HZ),LABEL
1,500,1,1.04,0.15,0.03,33.28,359.43,61.047,0
2,500,1,1.09,0.08,0.04,33.19,367.969,70.49,0
3,500,1,1.19,0.21,0.04,33.14,384.478,70.49,0
4,500,0.5,1.11,0.06,0.01,33.71,371.33,35.245,0
5,500,0.5,1.07,0.13,0.05,33.52,364.578,78.811,0
6,500,0.5,1.11,0.1,0.05,33.57,371.33,78.811,0
7,1000,1,1.17,0.11,0.07,33.61,407.594,99.698,0
8,1000,0.5,1.11,0.02,0.01,33.94,397.005,37.682,0
9,1500,1,0.98,0.04,0.06,35.03,402.91,81.4,0
10,1500,1,1.11,0.1,0.05,34.84,428.802,91.008,0
11,1500,1,1.22,0.1,0.01,34.84,449.547,40.7,0
12,1500,1,0.84,0.04,0.05,34.46,373.022,81.4,0
13,1500,1,1.07,0.07,0.04,34.46,421.005,81.4,0
14,1500,0.5,1.09,0.14,0.04,34.28,424.921,81.4,0
15,1500,0.5,1.09,0.06,0.04,34.18,424.921,81.4,0
16,1500,0.5,1.12,0.09,0.05,34.18,430.729,91.008,0
17,1500,0.5,1.11,0.13,0.05,33.99,428.802,91.008,0
18,1500,1,1.1,0.05,0.02,33.8,426.866,57.559,1
19,1500,1,1.1,0.04,0.02,33.99,426.866,57.559,1
20,1500,1,1.09,0.03,0.01,34.27,424.921,40.7,1
21,1500,1,1.1,0.01,0.03,34.65,426.866,40.7,1
22,1500,0.5,1.08,0.03,0.01,34.93,422.967,40.7,1
23,1500,0.5,1.08,0.05,0.03,34.93,422.967,70.495,1
24,1500,0.5,1.08,0.01,0.01,34.84,422.967,40.7,1
25,1000,1,1.14,0.09,0.01,33.71,402.334,37.682,1
26,1000,1,1.12,0.06,0.01,33.8,398.789,37.682,1
27,1000,1,1.09,0.07,0.03,33.99,393.412,65.268,1
28,1000,1,1.09,0.05,0.01,34.27,393.412,37.682,1
29,1000,1,1.06,0.05,0.01,34.65,387.96,37.682,1
30,1000,1,1.07,0.01,0.01,34.93,389.786,37.682,1
31,1000,1,1.1,0.03,0.01,35.21,395.213,37.682,1
32,1000,0.5,1.12,0.04,0.02,35.49,398.789,53.291,1
33,1000,0.5,1.03,0.03,0.04,35.31,382.431,65.268,1
34,1000,0.5,1.1,0.06,0.01,35.31,395.213,37.682,1
35,1000,0.5,1.07,0.04,0.03,35.31,389.786,65.268,1
36,1000,0.5,1.07,0.05,0.01,35.31,389.786,37.682,1
37,1000,0.5,1.12,0.03,0.01,35.4,398.789,37.682,1
38,1000,0.5,1.09,0.02,0.01,35.4,393.412,37.682,1
39,1000,0.5,1.1,0.06,0.02,35.4,395.213,53.291,1
40,500,1,1.09,0.03,0.01,34.08,367.969,35.245,1
41,500,1,1.17,0.06,0.05,34.18,381.233,78.811,1
42,500,1,1.17,0.1,0.04,34.08,381.233,70.49,1
43,500,1,1.13,0.03,0.01,34.37,374.66,35.245,1
44,500,1,1.11,0.05,0.01,34.65,371.33,35.245,1
45,500,1,1.07,0.01,0.02,34.84,364.578,35.245,1
46,500,1,1.11,0.05,0.01,35.02,371.33,35.245,1
47,500,1,1.04,0.02,0.03,35.31,359.43,49.844,1
48,500,1,1.05,0.05,0.04,35.4,361.154,70.49,1
49,500,1,1.12,0.04,0.02,35.49,372.999,49.844,1
50,500,1,1.05,0.01,0.04,35.68,361.154,35.245,1
51,500,1,1.06,0.02,0.02,35.78,362.87,49.844,1
52,500,1,1.06,0.02,0.03,35.78,362.87,49.844,1
53,500,1,1.1,0.03,0.02,35.87,369.653,49.844,1
54,500,1,0.98,0.07,0.06,35.87,348.908,86.333,1
55,500,0.5,1.08,0.03,0.01,35.97,366.277,35.245,1
56,500,1,1.1,0.05,0.01,35.87,369.653,35.245,1
57,500,1,1.05,0.01,0.02,35.68,361.154,35.245,1
58,500,1,1.12,0.08,0.01,35.59,372.999,35.245,1
59,500,1,1.1,0.04,0.005,35.59,369.653,24.922,1
60,500,1,1.08,0.01,0.01,35.49,366.277,35.245,1
61,500,1,1.08,0.03,0.01,35.4,366.277,35.245,1
62,500,1,1.1,0.03,0.03,35.4,369.653,61.047,1
63,500,1,1.1,0.05,0.005,35.4,369.653,24.922,1
64,500,1,1.08,0.06,0.02,35.4,366.277,49.844,1
65,500,1,1.08,0.04,0.01,35.4,366.277,35.245,1
66,500,1,1.11,0.03,0.005,35.4,371.33,24.922,1
67,500,1,1.05,0.02,0.01,35.31,361.154,35.245,1
68,500,1,1.08,0.03,0.01,35.31,366.277,35.245,1
